,bll.us,tmo.us,ceco.us,emr.us,mchp.us,ibm.us,cnp.us,sna.us,has.us,lb.us,cof.us,lnc.us,ko.us,clx.us,x.us,apc.us,intc.us,iff.us,dov.us,xlnx.us,gps.us,wen.us,brk-b.us,adm.us,xl.us,t.us,rf.us,wmt.us,rtn.us,mat.us,ebay.us,leg.us,ctxs.us,xray.us,eqr.us,luv.us,mcd.us,dgx.us,bby.us,twx.us,nke.us,bc.us,see.us,cag.us,adsk.us,msa.us,phm.us,msft.us,ca.us,mro.us
bll.us,1.0,0.4608347684107796,0.2227140659938734,0.5390881536760256,0.3614329048739893,0.43610245279173837,0.24949031107891856,0.49713636512816667,0.383100587011142,0.438119325699668,0.41569332482874755,0.4407314331334969,0.378893707301179,0.36139208419617025,0.5011607228778995,0.43371303484363233,0.41040620896079805,0.4749861037800949,0.5715823155601142,0.367451456076495,0.3621106634550556,0.37743920302043793,0.356443562614096,0.38436513421845414,0.3794187825201426,0.41232127358726683,0.3477058659211661,0.39473178254982527,0.3713839830235337,0.38372571684173895,0.36818985705219764,0.5032258470632307,0.3325814631903455,0.4326220383971664,0.4133446883439541,0.40447703708329646,0.3384410534489071,0.34087065122196253,0.35344791780714374,0.3876339287347796,0.4274004104495678,0.44164743997718486,0.4276026247957594,0.2906018834157574,0.3995760256300151,0.38301010465840635,0.44089495608940604,0.4217619034677712,0.39356422960913795,0.4861347551294402
tmo.us,0.4608347684107796,1.0,0.22786127519741334,0.5529543531750362,0.43088673793461313,0.46120007885793507,0.2291445229535547,0.5049331259796513,0.3890985192182314,0.41655537103220347,0.3907140684271611,0.42738389983058495,0.38027935375046557,0.33363367117538095,0.4614220479355539,0.41566908212709747,0.4599544358639601,0.4573582620004561,0.5527383581269207,0.4346029558013241,0.3800922640134528,0.34957879699410105,0.3685555632572147,0.3736399523342976,0.3693291590669589,0.3757815931957876,0.28998834094472525,0.38544088789706976,0.330866712179044,0.3872432642279777,0.380639327719673,0.4586027650679912,0.3587304034901445,0.4835914877123223,0.3546855836725261,0.41108526432069736,0.3496819269175036,0.3390934701722195,0.3519274294605559,0.4521273553000761,0.41515399359475097,0.4339639761012039,0.34355767534621995,0.312269426276171,0.4143189384777812,0.39029133240967423,0.3973690577300116,0.4611532249624888,0.43858243846846356,0.4482902723592929
ceco.us,0.2227140659938734,0.22786127519741334,1.0,0.2415773535739446,0.1995463024878302,0.20522225904552546,0.08262919182443249,0.2468277076172218,0.22155470173879888,0.21776837558845427,0.18763315748017279,0.17413235917313122,0.17307909134509714,0.19255350757058495,0.19640213769482973,0.16162614274614395,0.21523118163499158,0.21752555742627028,0.2553802075283956,0.21387434160576385,0.1771199707551552,0.226322638072395,0.1539851321655682,0.18277086960473324,0.15334144461591528,0.19092576802122108,0.16627174933576047,0.19789217218520772,0.17010638394251212,0.19585354544803535,0.20753643327053248,0.24457613801453387,0.19763201581578113,0.2613305031519372,0.19615081108019325,0.22109433898715838,0.16859020760778384,0.15198981837938505,0.19335553417281096,0.19625096270301454,0.20844509275947556,0.22069064273274402,0.1991214725093409,0.16281953506865132,0.18589623198284155,0.21609677860551643,0.24974710442579282,0.22687232474194724,0.19727922006701368,0.18694138115852516
emr.us,0.5390881536760256,0.5529543531750362,0.2415773535739446,1.0,0.4958630068107179,0.5570506532507872,0.27201034293837917,0.6165938565834851,0.47413677500379703,0.5196965366930479,0.5073886812974878,0.5058343164259044,0.45226231444752457,0.39828511529221444,0.5603564350466131,0.5092537017736181,0.5503210348702001,0.542220915705027,0.7035769657460232,0.48467990496849483,0.4552846446939215,0.4271032636597615,0.4326684712192393,0.47465501156556644,0.43514021531390196,0.4844241474736491,0.39288749037951987,0.45722426359930507,0.4095297523123124,0.44040658073025185,0.4721304419379922,0.547538312308644,0.4357168792321621,0.4962238282209039,0.4959573280643955,0.453230717347235,0.40963472860423056,0.3313561806135261,0.42834823524658644,0.5220812086302844,0.5280712658227166,0.5266483644086808,0.43465747131067706,0.35388231010050314,0.5008977004512725,0.44095121123032105,0.47490089660052504,0.5491099768202354,0.46709023387652643,0.5527873385502169
mchp.us,0.3614329048739893,0.43088673793461313,0.1995463024878302,0.4958630068107179,1.0,0.49483097605061793,0.14829683948940608,0.42381676902371146,0.3485245488179122,0.3931706647606702,0.3956708276446496,0.34492882847151657,0.3026044870244195,0.24335996379814087,0.38485438652862386,0.32424424226182585,0.6567302831057201,0.353635493678219,0.50251906005582,0.6840374887000065,0.32429189303434103,0.30477637105948724,0.26126195015676384,0.2829734414389826,0.2754576951169371,0.36010095065265624,0.2682111615070457,0.3211597438473902,0.2519271186394314,0.31998721531872465,0.4333872308472659,0.40972629395910454,0.45923237775517245,0.36666361827797184,0.33598538454333104,0.36585533977162527,0.27128689472350953,0.30886485641040107,0.3639570209390792,0.41954463625082444,0.37009361062934876,0.36280781597770373,0.32405515050802297,0.20036596361458145,0.4472273605921016,0.33635984066549923,0.34816700801754247,0.5058367889274944,0.47882821091958155,0.34724297750597827
ibm.us,0.43610245279173837,0.46120007885793507,0.20522225904552546,0.5570506532507872,0.49483097605061793,1.0,0.22608208849352865,0.49721211054524483,0.40007349462521885,0.44235077716535365,0.42931962872203366,0.4059752466640025,0.3773423383859981,0.30981606486864105,0.43070422430572286,0.3887857354959961,0.5901006691101832,0.4100596654454626,0.5510818911783856,0.5189123786361896,0.3568724481699951,0.3370947889412856,0.35486649411831983,0.3468180192902562,0.3658574469014389,0.47216656500291676,0.3120857291885245,0.4214962193730416,0.34235524635012393,0.41125878626412865,0.43239264882440204,0.47585839021957765,0.4336506512537617,0.3973473509502177,0.3971458351445049,0.41260985312385184,0.3563224284374297,0.31722744707703354,0.3849083879969252,0.47324538837508834,0.4528491535508547,0.418026814637874,0.3605954847486755,0.2904574520642743,0.45580229991928634,0.36730179751995173,0.37679300263880433,0.5743675848779101,0.4767986790233681,0.424003632892968
cnp.us,0.24949031107891856,0.2291445229535547,0.08262919182443249,0.27201034293837917,0.14829683948940608,0.22608208849352865,1.0,0.2447042994901943,0.19812288685163587,0.20100819111094118,0.19695379755807957,0.23351588936512715,0.22945309083792248,0.1674466238496811,0.25485526763123073,0.2753626185023959,0.19543187348049285,0.23338732543987242,0.27419919905288925,0.1575161079497528,0.19335581765834867,0.15853466399294522,0.21785364110910443,0.22920966045065255,0.21874320855921225,0.2827671997215374,0.15861810696810358,0.1604259950671609,0.2014924340319036,0.1878502381072718,0.15064325873813103,0.25847325662162135,0.17190609298094262,0.21081872849927913,0.2326522684023613,0.2271294689694564,0.15250520911019425,0.14940693939087557,0.1500075171229263,0.23025185700563525,0.2286469500294297,0.21605406952415004,0.161393330942675,0.18966813615004677,0.1969083930457038,0.22179250308817328,0.19147545591301585,0.20041713692716595,0.2490587286871064,0.283409966619147
sna.us,0.49713636512816667,0.5049331259796513,0.2468277076172218,0.6165938565834851,0.42381676902371146,0.49721211054524483,0.2447042994901943,1.0,0.4690946282974522,0.5227636396493998,0.47618150246565033,0.513674578438585,0.4025182788706278,0.3613765842981882,0.506943830788612,0.44830156243475405,0.48127183725901174,0.49562259715073564,0.6292855309911799,0.4213737876752217,0.4320656718608503,0.4142928576049057,0.42739513220777536,0.404897523663377,0.4299423638176561,0.43314502558554085,0.3837445657311912,0.4042083090019635,0.3650185065636259,0.4581436298046137,0.44557425567164566,0.571155182260041,0.3933710197843582,0.4736022410262619,0.48222314300607344,0.44241583953976005,0.3756333925158664,0.3220329931966471,0.40590531325667367,0.48198596172319014,0.49693221214437283,0.5320033728869049,0.4215098931798618,0.3458925504174468,0.4572024872853803,0.42222265970919437,0.48787313013131006,0.46107786676737444,0.4154968026049611,0.47829526553852364
has.us,0.383100587011142,0.3890985192182314,0.22155470173879888,0.47413677500379703,0.3485245488179122,0.40007349462521885,0.19812288685163587,0.4690946282974522,1.0,0.4453698874179518,0.373746513937056,0.3596497762728546,0.3192227573730029,0.29661547130370625,0.3836455953650229,0.31603343687087443,0.3813787470351308,0.3836671525567709,0.4936204331551818,0.37212611599774076,0.395596812344358,0.34773228221922897,0.29356350527262887,0.293490245100613,0.3400146084995549,0.3247028919053421,0.3092769648862058,0.3802623654264176,0.27879713289718744,0.5527808599536224,0.3407025036850915,0.4548820416838997,0.3156708156343196,0.351853953327456,0.3817641567903421,0.38192555928278993,0.32957325814847616,0.27090814567600346,0.3675278473217115,0.36303115119178225,0.41016095327440694,0.4439768904338222,0.333451162713732,0.2617694765887969,0.3668310147088966,0.33322878685242036,0.40180806940863567,0.38008307754153425,0.3536797705146595,0.346873431003035
lb.us,0.438119325699668,0.41655537103220347,0.21776837558845427,0.5196965366930479,0.3931706647606702,0.44235077716535365,0.20100819111094118,0.5227636396493998,0.4453698874179518,1.0,0.479040350458829,0.462699631495434,0.35280119263875004,0.31495308723086457,0.406649908077689,0.314948933671279,0.4532176792402843,0.4268717767996698,0.5335074149642235,0.40095045289105447,0.5419947935352977,0.40351154545649337,0.36699397563713976,0.3186040599048119,0.412337015513894,0.39732950932486205,0.35784595487654186,0.48365539381978656,0.27563961121306074,0.47069371430968054,0.40462371605922914,0.5207315667431026,0.33592437452160245,0.38359261206479844,0.4681774705590214,0.44346524411053473,0.37316687717881125,0.2990747241768963,0.45866709285069035,0.4377719139901936,0.5037125715287019,0.5145861154796855,0.3963722347487881,0.2954391676806172,0.3829498534423077,0.33669621475423606,0.4741570031285005,0.43010508964360633,0.3819598529192831,0.3648878306411989
