,n_assets,assets,w,return,sharpe_ratio,volatility,timestamp,type
0,8,"['nbhc.us', 'eqco.us', 'flic.us', 'wpz.us', 'grvy.us', 'lgcyo.us', 'iba.us', 'ncs.us']","[0.19712334429455383, 0.41659884632165345, 0.11673279379547373, 0.09871209422197529, 0.01231851673565869, 0.00673870806715011, 0.07558000023888772, 0.07619569632464723]",0.22387036654408185,,0.01860071749253801,1524320812.668573,hrp
1,8,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us']","[0.0388779  0.06273776 0.14136911 0.25051299 0.14019485 0.00485747
 0.0323474  0.32910253]",0.09600385158369264,1.1165854611919892,0.08597985100146797,1524320812.668573,min_variance
2,8,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us']","[0.27606476 0.29369718 0.06979937 0.03450592 0.12411714 0.01854438
 0.00733836 0.17593289]",0.31308049018032436,2.544392015745071,0.12304726954138215,1524320812.668573,best_sharpe
3,33,"['wbig.us', 'eqco.us', 'enrj.us', 'grvy.us', 'lgcyo.us', 'iba.us', 'dyn_a.us', 'cphi.us', 'nxeow.us', 'wpz.us', 'vrsk.us', 'srlp.us', 'evep.us', 'nbhc.us', 'nnvc.us', 'jpem.us', 'feye.us', 'flic.us', 'jmu.us', 'wti.us', 'axas.us', 'elp.us', 'www.us', 'exr.us', 'nycb.us', 'avt.us', 'mygn.us', 'ncs.us', 'gpk.us', 'kelya.us', 'rbcaa.us', 'thr.us', 'mlnt.us']","[0.35211220995936676, 0.17859701579614048, 0.000953380413749051, 0.005456463588630898, 0.0028989117531770226, 0.03135762852613653, 0.008828305941605961, 0.0012412130768131814, 0.0011649780743331543, 0.03322715722631459, 0.031205750814008233, 0.015398661456063063, 0.017091999524376875, 0.07532138080679229, 0.005406367335208192, 0.0654118398791795, 0.00325383889424398, 0.02648577974674895, 0.0021244760282282077, 0.008985234862908708, 0.002809484807592226, 0.005358638051131448, 0.014057284722837475, 0.01913668297821466, 0.027036756528387957, 0.008154870499174521, 0.006096991086156779, 0.008631752454288174, 0.002397804516455557, 0.015248747132068119, 0.014348786789876031, 0.006615416194475104, 0.0035841905353161956]",0.0761368599306873,,0.022027763050501838,1524320870.34525,hrp
4,33,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us', 'gpk.us', 'wti.us', 'dyn_a.us', 'mygn.us', 'jmu.us', 'jpem.us', 'kelya.us', 'wbig.us', 'nycb.us', 'elp.us', 'axas.us', 'cphi.us', 'thr.us', 'nxeow.us', 'vrsk.us', 'evep.us', 'srlp.us', 'www.us', 'nnvc.us', 'exr.us', 'feye.us', 'rbcaa.us', 'enrj.us', 'mlnt.us', 'avt.us']","[0.06209831 0.05855317 0.04646619 0.05461156 0.05791957 0.03725003
 0.01261454 0.02600592 0.00229016 0.04565315 0.04323332 0.03095919
 0.02429972 0.02237384 0.01986664 0.05634475 0.05521288 0.00344492
 0.00546002 0.01119858 0.06395916 0.00238557 0.02683179 0.00735769
 0.01771833 0.01616206 0.02779582 0.02081566 0.01211938 0.0502053
 0.00133062 0.05090248 0.02655968]",0.22106960019159475,2.4450227869199543,0.09041617173232185,1524320870.34525,min_variance
5,33,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us', 'gpk.us', 'wti.us', 'dyn_a.us', 'mygn.us', 'jmu.us', 'jpem.us', 'kelya.us', 'wbig.us', 'nycb.us', 'elp.us', 'axas.us', 'cphi.us', 'thr.us', 'nxeow.us', 'vrsk.us', 'evep.us', 'srlp.us', 'www.us', 'nnvc.us', 'exr.us', 'feye.us', 'rbcaa.us', 'enrj.us', 'mlnt.us', 'avt.us']","[0.04101042 0.02923081 0.03905614 0.05129613 0.03946705 0.00466212
 0.00131968 0.00060358 0.00370845 0.03324344 0.01416559 0.0554855
 0.00252485 0.03922595 0.01328699 0.03139219 0.04687845 0.0430545
 0.05901082 0.05611489 0.05363146 0.0036864  0.05250402 0.00982791
 0.02480366 0.04021382 0.01450833 0.05364491 0.0085498  0.05069877
 0.00027212 0.04607396 0.03684729]",0.5560316353843128,4.4759238029142345,0.12422723439176635,1524320870.34525,best_sharpe
6,76,"['jmu.us', 'agn_a.us', 'cma-ws.us', 'eim.us', 'pay.us', 'stor.us', 'wyde.us', 'nxeow.us', 'cphi.us', 'wpz.us', 'vrsk.us', 'tgen.us', 'feye.us', 'flks.us', 'mmi.us', 'enrj.us', 'nep.us', 'grvy.us', 'lgcyo.us', 'evep.us', 'mlnt.us', 'srlp.us', 'jasn.us', 'cmct.us', 'psx.us', 'wpcs.us', 'pci.us', 'cizn.us', 'ribtw.us', 'usau.us', 'dyn_a.us', 'hyxu.us', 'nnvc.us', 'dxr.us', 'mx.us', 'nlnk.us', 'clct.us', 'nbhc.us', 'iba.us', 'mxe.us', 'gfy.us', 'nac.us', 'irix.us', 'wti.us', 'axas.us', 'elp.us', 'www.us', 'txrh.us', 'nycb.us', 'imkta.us', 'hdb.us', 'exr.us', 'l.us', 'he.us', 'avt.us', 'mygn.us', 'ivc.us', 'brkr.us', 'ncs.us', 'gpk.us', 'mnro.us', 'joe.us', 'kelya.us', 'rbcaa.us', 'thr.us', 'nee_j.us', 'pfbx.us', 'pgz.us', 'tmo.us', 'bll.us', 'eqco.us', 'wbig.us', 'cor.us', 'jpem.us', 'flic.us', 'born.us']","[0.001633930388741984, 0.01844720313421777, 0.0020705863867770046, 0.050423052892202745, 0.005959846036909497, 0.024000875821788854, 0.173023039488834, 0.0005964231635702529, 0.0005182183842370216, 0.009975204760732737, 0.008633390557549464, 0.0005061125998401394, 0.001921161054779447, 0.0016010429813135198, 0.005140688761489134, 0.0003502052149157215, 0.005328168129665055, 0.0016310985819060185, 0.0008922744034912787, 0.006256253135905087, 0.0033638037256454693, 0.005749681870539401, 0.00494549609562962, 0.028186872905922124, 0.01199508344092741, 0.003626466200858321, 0.07147254186691915, 0.003051356542739749, 0.0002121456861569024, 0.005022154876463681, 0.0033147024197219574, 0.10052775051613533, 0.0020202283614610024, 0.010734669860829204, 0.003829635493363866, 0.0038485911431146457, 0.008030734352207835, 0.03025347283342472, 0.004457228022083083, 0.005610418919667762, 0.0579713501235429, 0.0356540388233275, 0.0014526538121500635, 0.0019368032140463251, 0.0007707210044704015, 0.0012803263222198053, 0.0034880051630857153, 0.0013228795842047713, 0.005869510057332344, 0.0015631763108020858, 0.0009875985047557835, 0.0021445043478581717, 0.005885938273251037, 0.008361112031364741, 0.001760678649632243, 0.0011567390965639551, 0.0014184176965661285, 0.0010544964298613614, 0.0031101463447446476, 0.0007307887723096278, 0.002587432918237796, 0.0030708106402440056, 0.005497042485845243, 0.005218640213451499, 0.0025204193729816233, 0.01962410857505642, 0.00645214839192718, 0.03461199287684796, 0.003615636073729459, 0.006823716112141491, 0.03709418821045643, 0.07458520971474902, 0.005121108750557251, 0.014830651137043618, 0.01059345836412768, 0.0006717405878357547]",0.1130817895120712,,0.03119503386586075,1524322188.324903,hrp
7,76,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us', 'gpk.us', 'wti.us', 'dyn_a.us', 'mygn.us', 'jmu.us', 'jpem.us', 'kelya.us', 'wbig.us', 'nycb.us', 'elp.us', 'axas.us', 'cphi.us', 'thr.us', 'nxeow.us', 'vrsk.us', 'evep.us', 'srlp.us', 'www.us', 'nnvc.us', 'exr.us', 'feye.us', 'rbcaa.us', 'enrj.us', 'mlnt.us', 'avt.us', 'dxr.us', 'irix.us', 'pay.us', 'pfbx.us', 'hyxu.us', 'nlnk.us', 'ivc.us', 'mxe.us', 'txrh.us', 'mx.us', 'mnro.us', 'pgz.us', 'l.us', 'jasn.us', 'gfy.us', 'eim.us', 'bll.us', 'pci.us', 'born.us', 'ribtw.us', 'cizn.us', 'usau.us', 'brkr.us', 'tmo.us', 'nee_j.us', 'cmct.us', 'mmi.us', 'stor.us', 'clct.us', 'tgen.us', 'cma-ws.us', 'he.us', 'wyde.us', 'cor.us', 'imkta.us', 'nep.us', 'flks.us', 'nac.us', 'psx.us', 'joe.us', 'hdb.us', 'agn_a.us', 'wpcs.us']","[0.02302481 0.02464466 0.01823944 0.00623171 0.02054182 0.01249676
 0.01578759 0.00426037 0.00709769 0.00523141 0.0210464  0.0049311
 0.01749045 0.01934383 0.02207605 0.01321461 0.02438106 0.01426012
 0.00050547 0.00661631 0.01758665 0.0073873  0.00817178 0.02423881
 0.01554678 0.00901917 0.00928116 0.02185925 0.00403261 0.00444932
 0.00283122 0.00431092 0.01315726 0.02270581 0.00881276 0.02108489
 0.01844955 0.02554126 0.00916548 0.00778337 0.01456707 0.00443193
 0.00359814 0.00708694 0.02257678 0.01313224 0.02563563 0.01058098
 0.0221627  0.00329318 0.0186299  0.01786973 0.00044429 0.00620814
 0.02588299 0.00205227 0.00060625 0.02493722 0.01606146 0.01397701
 0.01231043 0.00062509 0.00247608 0.0229939  0.00299593 0.02289146
 0.02464218 0.00921247 0.01631264 0.01137199 0.01837457 0.0051233
 0.01708274 0.02413593 0.01290382 0.00597564]",0.18779385347522926,2.828110303780699,0.06640259159063953,1524322188.324903,min_variance
8,76,"['iba.us', 'wpz.us', 'flic.us', 'nbhc.us', 'ncs.us', 'grvy.us', 'lgcyo.us', 'eqco.us', 'gpk.us', 'wti.us', 'dyn_a.us', 'mygn.us', 'jmu.us', 'jpem.us', 'kelya.us', 'wbig.us', 'nycb.us', 'elp.us', 'axas.us', 'cphi.us', 'thr.us', 'nxeow.us', 'vrsk.us', 'evep.us', 'srlp.us', 'www.us', 'nnvc.us', 'exr.us', 'feye.us', 'rbcaa.us', 'enrj.us', 'mlnt.us', 'avt.us', 'dxr.us', 'irix.us', 'pay.us', 'pfbx.us', 'hyxu.us', 'nlnk.us', 'ivc.us', 'mxe.us', 'txrh.us', 'mx.us', 'mnro.us', 'pgz.us', 'l.us', 'jasn.us', 'gfy.us', 'eim.us', 'bll.us', 'pci.us', 'born.us', 'ribtw.us', 'cizn.us', 'usau.us', 'brkr.us', 'tmo.us', 'nee_j.us', 'cmct.us', 'mmi.us', 'stor.us', 'clct.us', 'tgen.us', 'cma-ws.us', 'he.us', 'wyde.us', 'cor.us', 'imkta.us', 'nep.us', 'flks.us', 'nac.us', 'psx.us', 'joe.us', 'hdb.us', 'agn_a.us', 'wpcs.us']","[0.02626972 0.0081671  0.01577057 0.00599947 0.00474437 0.00361964
 0.00510685 0.0204772  0.00113384 0.02621252 0.00431307 0.00550949
 0.01487398 0.01277014 0.01692739 0.00061667 0.02356961 0.02453685
 0.00934334 0.02701624 0.01725093 0.0104752  0.01030527 0.02507386
 0.0073028  0.01983445 0.01505758 0.00436118 0.01131851 0.01149942
 0.00319639 0.02105579 0.00147483 0.02450963 0.00822561 0.0262677
 0.02022961 0.00564575 0.00420624 0.00161231 0.02093301 0.02205015
 0.02627322 0.02613402 0.00963667 0.00029413 0.00884192 0.0082619
 0.00132673 0.01041774 0.0133272  0.00821089 0.01201944 0.01871071
 0.00410506 0.02618573 0.01905465 0.00051194 0.0202321  0.014883
 0.01691397 0.0081605  0.00204913 0.02138291 0.02212172 0.0072237
 0.01633498 0.02103481 0.01253452 0.01060569 0.01283745 0.02640854
 0.00265726 0.00306413 0.01913444 0.02024491]",0.42699572058049606,5.212174870537873,0.0819227541643153,1524322188.324903,best_sharpe
9,8,"['nbhc.us', 'eqco.us', 'flic.us', 'wpz.us', 'grvy.us', 'lgcyo.us', 'iba.us', 'ncs.us']","[0.19712334429455383, 0.41659884632165345, 0.11673279379547373, 0.09871209422197529, 0.01231851673565869, 0.00673870806715011, 0.07558000023888772, 0.07619569632464723]",0.22387036654408185,,0.01860071749253801,1524336774.692197,hrp
